150
20 774
6 106 774
54 0 597
41 449 733
82 0 304
105 65 774
36 0 612
31 349 774
57 0 443
94 0 316
108 0 330
58 34 774
12 180 774
9 9 774
74 14 774
80 114 774
13 68 337
70 55 774
104 500 774
76 261 774
5 0 592
45 611
60 42 611
84 0 531
64 4 611
52 43 611
15 0 473
92 122 611
95 244 579
77 110 611
82 215 611
49 29 345
65 34 611
69 0 322
12 186 611
27 0 414
113 0 410
19 234 611
54 0 515
76 0 579
2 0 403
72 0 411
97 34 365
51 0 474
116 0 584
8 0 600
56 180 472
36 419 611
53 89 392
101 0 582
83 0 602
85 0 571
5 40 611
106 58 611
10 156 611
11 170 611
115 59 611
62 281 611
61 135 293
90 0 425
9 136 272
6 0 486
42 0 468
29 242 611
1 155 611
66 357 611
18 0 329
31 702
46 0 649
113 0 565
84 40 702
53 336 702
92 222 702
90 117 307
122 184 702
47 0 418
8 101 702
22 0 466
62 316 702
121 0 277
67 0 672
108 481 702
68 101 702
101 181 702
69 0 447
115 26 702
75 0 577
16 0 496
74 0 341
98 265 702
4 339 702
105 22 702
25 96 702
42 0 682
19 0 522
97 49 702
81 133 702
119 47 702
11 0 324
23 582
42 51 582
54 205 582
38 0 312
7 143 509
19 0 227
29 0 543
49 278 582
15 46 582
17 42 582
9 0 367
55 219 582
11 383 538
47 232 582
53 0 512
50 38 582
12 0 518
56 52 582
6 0 568
16 152 274
41 219 559
44 168 582
22 220 582
37 255 582
2 100
1 0 49
1 50 100
50 97756
100000 0 54175
19016 0 67626
78315 0 62848
4726 22222 94058
55400 0 59289
10639 55205 97756
4706 0 86529
32779 51166 97756
44558 0 43229
41952 26065 97756
71041 11622 97756
58382 0 97756
44365 9426 97756
45891 27462 97756
97623 0 49691
38914 19504 66727
28665 0 66699
32282 3988 97756
74957 0 91015
17799 0 97533
20760 0 69981
76378 0 78622
61602 0 54554
59706 0 67166
33016 0 70498
12112 0 75739
98696 0 84523
81202 0 62077
10310 0 76293
125 29080 97756
89181 12379 74389
32465 0 65516
71989 0 68472
52686 8757 45106
86427 0 96367
61301 0 78921
55510 19162 97756
99642 30056 97756
55546 24606 97756
89194 1977 55850
35503 0 75944
49800 0 72812
3671 0 43671
16797 59421 97756
44087 11308 97756
20754 0 53477
72359 0 60072
33546 29635 80484
4422 64667 97756
19561 7449 97756
42 924
44 0 370
30 234 924
10 351 924
12 348 924
36 91 554
101 0 814
14 0 431
75 215 924
43 0 814
120 180 924
41 64 924
85 13 924
106 4 924
21 607 924
26 0 515
97 306 924
42 0 562
50 116 924
127 350 668
54 324 924
137 0 598
102 298 924
40 0 474
64 0 883
94 320 924
98 16 782
88 0 853
19 175 924
48 0 901
33 230 924
123 188 380
21 217 407
118 354 924
18 129 924
70 0 493
66 0 417
108 220 924
53 0 393
82 331 924
117 194 924
15 0 421
71 0 835
18 14
54 5 14
15 1 14
28 6 14
30 0 6
6 5 14
4 7 14
0 0 11
38 0 13
18 0 13
49 0 9
32 0 12
24 1 14
11 0 8
52 11 14
41 2 14
12 5 14
19 0 7
25 9 14
11 269
73 0 230
32 124 269
45 0 170
3 0 232
26 107 269
14 5 269
55 44 188
87 0 96
33 0 269
1 76 269
9 0 181
3 418
3 11 418
48 0 314
10 0 402
41 775
62 0 218
14 114 775
9 0 502
4 0 642
10 64 775
6 382 775
56 280 775
59 0 574
78 0 516
38 412 775
41 0 623
33 0 629
54 1 602
62 375 775
50 0 671
43 18 502
16 0 422
51 0 666
48 0 396
47 209 775
44 0 633
40 0 440
13 0 608
20 0 654
72 401 775
73 497 775
18 0 240
58 0 615
26 0 381
3 0 318
55 0 288
45 81 378
80 0 362
19 128 775
23 0 707
2 0 259
64 222 775
24 0 698
68 398 775
42 280 775
61 0 739
37 44
36 1 42
62 2 44
7 1 44
53 0 32
18 0 37
42 0 34
60 13 44
40 6 44
85 0 40
66 36 44
16 6 44
15 19 44
19 10 44
68 9 44
48 10 44
67 14 44
52 0 43
72 9 28
86 13 44
63 25 44
12 0 40
33 10 44
50 0 17
81 5 44
65 0 22
26 0 21
41 0 30
76 24 32
4 24 44
69 0 25
2 7 22
55 0 39
43 0 32
3 0 27
44 4 44
24 0 28
29 22 44
3 792
34 14 415
29 291 696
24 0 683
38 708
30 0 525
10 25 708
54 203 586
27 158 708
15 0 626
13 0 522
49 0 534
47 365 708
9 114 708
34 268 654
11 0 621
51 0 658
14 0 575
33 441 708
36 301 708
16 0 654
24 0 480
39 159 708
44 0 603
20 0 270
50 17 708
19 0 662
26 290 708
21 253 708
17 76 708
48 0 707
2 272 708
40 304 492
6 0 434
7 52 708
42 275 708
5 0 226
38 0 576
52 0 570
22 56 708
43 177 445
4 11 437
0 0 332
43 306
42 158 283
56 59 306
65 0 271
66 0 183
50 47 306
8 4 270
88 55 306
55 0 237
29 125 306
25 7 306
46 0 148
80 0 240
28 0 259
30 45 306
62 216 306
53 113 306
77 10 306
82 0 122
70 0 219
89 123 306
61 208 306
6 0 292
14 36 99
87 0 270
15 0 185
17 199 306
12 58 306
58 180 306
34 51 306
10 75 306
63 0 284
3 76 306
4 34 113
2 15 306
68 27 306
71 0 283
38 62 246
22 0 174
32 142 306
72 18 165
43 167 306
48 0 221
24 101 306
25 194
28 0 89
59 0 75
12 0 160
39 62 194
101 95 194
11 0 178
17 36 163
40 0 187
46 0 190
61 135 190
43 0 149
88 0 103
67 0 132
96 50 194
19 0 169
57 0 169
81 0 187
32 0 145
51 63 194
76 0 95
41 11 194
5 7 110
83 3 194
86 0 84
78 0 191
20 265
36 1 265
5 18 265
27 29 265
68 0 105
29 0 165
7 0 217
74 58 265
38 7 265
71 32 265
1 0 170
9 0 242
25 75 265
3 0 239
17 0 227
14 0 242
44 125 265
70 97 265
47 175 237
61 109 265
59 155 265
3 885
84 0 370
81 0 601
39 63 885
50 96508
100000 32882 93677
59922 43895 78779
48315 0 91466
32175 0 89598
28528 11643 96508
15318 0 25499
55353 27219 96508
54992 2942 96508
13887 16222 54956
10634 2916 96508
2102 0 24532
67776 30369 60023
41676 42268 96508
60835 44598 96508
37004 70274 95720
61534 75305 94960
44984 10510 96508
58581 28259 96508
27753 6216 32533
9541 1784 21778
59786 0 45375
93771 48077 96508
44584 0 55645
36499 29389 96508
79449 71921 91624
80255 2579 96508
15361 67731 96508
9466 0 90017
74756 0 75314
38462 0 69152
98631 0 34467
15935 47795 89829
36500 0 86218
88905 0 67419
41475 6323 96508
90840 49406 96508
18687 0 87227
11938 0 67274
28684 49605 96508
4507 0 62901
76550 67291 96508
26974 0 85833
68073 20815 96508
19986 60220 96508
47414 0 63611
87381 50744 96508
66492 0 61969
33838 8120 96508
79373 18549 96508
41142 0 52462
37 458
9 0 407
90 10 458
33 103 318
37 45 436
94 0 371
1 0 310
39 13 458
108 163 262
15 14 458
18 24 370
48 40 310
11 126 458
78 9 254
0 0 313
30 0 374
5 168 375
89 0 334
80 109 368
85 0 428
32 0 389
83 0 458
44 189 458
97 91 458
45 0 454
52 0 267
64 0 406
70 59 458
46 0 445
8 79 458
54 10 447
105 0 292
58 0 231
60 0 407
31 69 458
36 106 458
88 156 458
26 82 458
32 57
34 0 19
113 0 41
118 0 50
82 0 42
114 0 56
17 0 54
93 1 17
101 11 57
65 0 30
37 5 57
72 10 57
95 0 42
29 0 47
33 27 57
120 0 13
0 8 57
40 14 57
45 0 41
116 10 57
67 29 57
63 33 57
70 2 57
78 0 53
18 46 57
122 0 42
64 0 55
10 7 57
30 0 48
90 1 43
11 0 28
60 0 26
32 7 57
22 87
60 12 53
95 60 85
32 23 71
71 13 87
44 39 77
25 40 87
85 17 87
50 16 87
55 0 40
31 0 71
64 20 87
22 8 67
94 50 77
5 24 63
46 0 63
66 28 45
49 14 87
90 5 87
4 36 87
95 0 43
61 0 58
78 0 83
26 232
37 47 232
6 9 122
30 0 191
15 19 232
34 66 232
32 25 232
42 6 155
3 0 218
9 0 153
13 72 232
10 0 205
35 0 207
5 0 148
31 0 136
39 0 106
7 115 232
18 0 102
28 116 232
11 114 232
27 78 151
40 146 232
46 0 111
12 102 232
2 0 232
11 0 80
38 21 232
43 400
45 0 394
33 195 400
37 41 400
41 0 212
83 11 200
57 43 400
51 0 313
19 0 166
70 51 400
14 17 400
44 0 295
53 3 400
77 0 343
68 0 269
80 170 292
8 0 296
59 79 400
63 0 395
9 0 395
20 0 389
72 67 400
21 0 289
29 218 400
69 28 215
56 0 307
74 14 400
11 0 326
32 0 399
54 141 400
67 72 400
10 0 365
7 209 400
2 8 400
75 176 400
65 163 400
36 36 350
3 31 400
48 0 369
17 18 400
24 0 279
35 148 400
16 123 400
46 148 320
20 297
43 121 297
5 121 297
40 171 297
28 115 218
56 36 297
15 216 297
55 137 272
21 0 184
13 55 297
14 2 297
26 201 297
7 44 297
27 123 297
1 73 169
33 107 254
1 189 248
0 0 191
38 26 203
24 0 249
25 18 297
2 445
86 0 124
49 0 322
43 580
110 1 580
66 0 551
117 0 407
108 196 580
133 213 580
135 0 442
78 40 321
104 176 580
129 222 580
102 133 580
19 0 445
42 430 580
30 73 580
124 111 580
40 59 580
44 10 580
17 0 500
115 0 384
68 0 375
106 107 580
58 229 534
120 151 521
83 0 552
23 121 580
41 163 580
101 186 504
85 0 551
3 4 580
46 172 580
94 11 580
13 54 580
113 285 529
49 86 580
121 111 580
34 80 580
130 34 580
21 398 580
26 0 521
90 11 482
80 0 414
70 32 580
16 363 580
12 33 280
5 201
40 38 85
12 0 163
25 1 50
31 108 201
62 0 123
13 509
47 123 509
1 6 509
57 0 479
27 130 273
64 0 291
45 0 292
37 0 485
21 0 420
72 0 377
63 114 509
65 88 504
68 163 509
62 0 218
36 992
109 52 992
10 0 714
123 582 992
51 0 855
18 0 665
5 106 992
124 243 992
55 281 683
90 0 835
115 245 992
34 194 992
89 0 967
79 421 992
107 0 481
2 292 786
75 0 350
87 148 779
1 0 815
49 0 494
35 0 540
63 324 992
42 250 949
105 5 992
66 0 971
19 0 893
23 61 992
94 0 826
4 0 825
98 0 960
40 0 519
76 0 618
121 0 958
69 24 992
33 0 871
118 0 905
45 0 967
12 313
54 5 123
39 50 313
79 0 296
34 0 286
65 236 311
0 77 179
30 0 206
16 0 202
23 0 225
42 132 308
26 0 249
50 0 72
26 270
28 0 267
30 47 159
92 63 270
23 22 270
14 0 211
17 96 270
29 0 186
38 47 270
25 0 138
36 58 270
74 0 270
119 102 270
93 39 145
104 67 270
67 110 270
11 24 270
5 0 262
98 44 270
6 125 255
65 0 213
123 0 170
21 154 270
91 72 270
44 0 151
129 0 239
95 0 91
46 221
34 0 123
72 0 186
30 0 86
1 56 221
32 0 213
10 43 221
80 103 221
81 97 221
67 59 221
0 0 214
48 0 138
20 10 221
100 0 132
22 0 167
94 0 185
76 0 189
52 29 165
44 0 213
95 62 221
88 0 184
57 6 172
91 0 183
8 18 221
37 50 221
60 0 173
9 22 103
26 56 221
73 0 151
51 36 221
46 0 187
47 32 140
99 61 221
39 107 183
78 156 221
43 0 182
64 81 177
27 94 221
14 0 208
24 0 142
33 0 170
11 0 210
50 0 71
84 11 169
70 0 195
56 0 139
75 0 218
7 574
10 286 548
61 324 465
60 211 574
24 16 574
80 26 322
73 0 260
21 0 565
40 131
57 10 131
66 23 79
86 16 131
4 29 131
1 43 123
93 67 131
36 30 62
74 5 131
83 1 131
52 0 84
9 0 111
5 0 59
31 62 131
38 77 119
24 20 131
6 9 131
64 5 131
59 15 131
19 7 131
41 1 131
3 0 112
92 0 115
87 0 77
42 15 52
67 0 107
46 0 129
14 0 47
49 0 106
76 0 116
25 0 114
48 0 85
60 8 131
45 0 106
80 0 50
65 0 68
68 0 115
37 0 122
82 83 131
32 0 87
11 8 131
11 866
52 0 805
3 65 866
28 61 866
19 0 849
29 0 276
16 585 818
13 0 493
58 63 866
26 401 676
38 0 400
36 0 720
39 13
54 1 8
62 6 13
22 0 6
6 2 13
10 5 13
67 5 13
56 4 13
20 0 10
11 3 13
68 1 13
40 0 12
25 0 8
8 0 12
15 0 11
61 0 11
28 4 13
51 7 13
0 1 13
41 0 10
60 8 11
55 0 9
65 0 8
58 2 13
34 0 10
57 0 12
66 4 8
24 5 13
45 3 13
31 5 9
53 0 7
63 0 10
9 0 12
43 0 10
1 5 13
17 8 13
4 5 13
52 0 12
44 0 13
36 6 10
34 500
49 50 500
62 0 330
30 0 378
64 228 500
16 81 370
29 0 485
0 359 500
18 0 416
20 380 486
76 119 500
54 51 500
43 196 500
15 115 500
39 88 500
1 19 500
61 127 500
85 0 354
68 0 212
60 0 436
65 233 500
40 161 500
72 226 500
59 0 183
6 145 500
3 0 178
17 104 500
52 78 500
23 0 385
41 0 451
28 284 500
19 0 263
8 0 500
70 278 500
34 0 239
7 938
0 430 938
4 0 428
19 281 871
18 0 646
9 284 938
12 408 938
14 0 476
22 22
79 9 22
65 0 20
42 0 13
38 9 22
10 0 18
9 2 22
52 5 22
56 5 22
33 8 13
86 12 22
87 0 14
8 4 22
34 0 22
17 0 17
69 0 16
27 4 22
46 5 22
40 0 19
67 9 22
18 14 19
71 1 22
81 6 22
50 96650
100000 69037 96650
25487 0 86237
39640 0 52868
29771 29890 96650
22707 8244 96650
30066 0 53533
55320 16053 96650
87888 0 88982
67877 0 87623
33157 52756 80956
61094 0 94840
94917 8695 86597
64098 13611 96650
35233 10140 96650
57021 0 84064
93234 29203 96650
75342 31997 96650
41840 0 86462
418 22082 96650
15681 41422 96650
29233 0 55240
42599 17018 96650
94142 29713 52961
80948 0 94101
50183 0 86687
18125 38871 96650
29812 31305 96595
95970 14654 96650
91047 0 93274
59496 35224 96650
52807 14419 72171
26683 6478 96650
2970 0 91157
50652 0 78889
11420 20710 96650
2463 0 73200
88708 0 76942
49448 1574 31434
22640 0 95838
48806 10854 96650
59667 32024 96650
69108 0 87094
26785 69041 95222
78582 0 43910
36803 0 87114
57888 0 86823
30038 28416 68768
65727 42994 96650
60454 0 58557
12124 11764 96650
25 676
26 288 676
25 134 676
36 99 564
2 284 676
19 0 601
31 0 660
15 0 603
40 225 676
3 64 676
17 204 676
21 38 676
12 0 372
22 223 676
1 200 603
4 100 676
23 257 676
32 0 548
33 0 582
39 176 676
18 94 382
28 185 676
11 499 671
0 0 627
13 315 676
29 411 676
46 835
51 547 835
10 0 712
1 58 835
41 480 835
42 0 835
5 0 341
39 11 758
36 0 283
33 0 757
66 180 835
23 224 835
11 590 835
55 40 835
59 126 835
38 141 835
36 295 835
15 0 715
50 0 577
74 158 835
18 227 835
34 0 388
28 0 401
27 126 835
32 55 835
72 321 835
71 477 835
60 158 835
63 0 371
14 0 497
49 167 835
21 153 835
25 309 835
0 30 835
26 432 835
45 0 702
53 0 436
64 203 835
68 0 294
43 0 681
7 0 784
65 0 647
48 0 783
6 139 835
35 0 724
2 0 573
31 16 736
49 808
91 346 691
11 453 801
60 0 566
50 70 808
89 243 808
14 285 808
6 55 392
66 0 767
23 84 808
1 0 647
35 159 808
12 0 255
51 106 808
69 472 808
34 0 610
20 0 515
59 262 808
48 71 808
110 164 808
121 0 540
57 0 548
3 436 808
103 18 808
107 71 651
73 536 808
123 535 808
93 95 808
72 411 640
113 0 805
92 235 808
29 0 381
31 241 808
77 0 473
85 0 646
112 176 731
7 0 746
65 363 788
41 0 538
99 65 808
42 0 326
19 0 603
39 0 549
21 0 649
116 0 704
70 296 808
117 0 677
105 0 774
32 424 808
76 129 808
46 531
72 157 531
57 288 531
12 282 531
30 0 456
64 370 528
15 262 531
56 60 256
40 0 446
46 152 525
41 124 531
33 0 529
70 12 531
38 184 531
37 97 531
24 417 531
26 0 311
71 0 494
81 29 531
9 137 531
52 0 486
74 195 531
78 11 531
13 273 475
36 0 421
61 58 531
22 0 394
19 130 531
73 0 505
2 0 526
39 0 245
50 8 531
42 39 233
63 0 406
47 302 485
49 275 531
67 0 441
23 0 379
68 0 220
20 0 470
34 278 531
54 0 470
4 0 469
28 0 492
79 0 440
35 0 461
3 0 490
2 387
33 0 312
0 54 314
29 197
79 0 99
18 45 197
49 0 150
60 69 144
36 30 197
17 23 110
93 0 163
42 83 197
23 0 151
69 22 68
74 0 132
1 98 197
33 137 197
40 3 106
70 0 163
61 0 177
0 60 135
89 0 110
28 27 197
78 0 186
72 0 197
99 117 197
3 137 197
76 27 197
5 0 178
9 0 105
43 0 103
15 0 128
35 10 197
43 644
4 0 488
39 0 558
80 162 644
28 0 640
49 99 644
95 237 644
2 0 412
123 0 558
31 107 644
97 480 644
121 139 644
32 0 307
133 0 611
35 82 413
11 0 405
34 0 630
88 0 322
104 0 617
43 185 630
37 0 461
68 206 644
41 23 410
103 47 184
65 215 644
102 0 629
147 0 468
134 166 352
25 213 500
22 0 390
29 62 644
44 0 499
3 180 644
5 63 644
136 276 644
81 0 302
148 0 283
19 0 231
61 0 612
59 6 644
7 23 644
45 93 465
84 0 239
98 0 282
41 396
23 0 281
3 163 396
61 299 396
65 259 396
35 84 396
1 47 396
63 166 288
6 0 170
52 0 286
25 85 390
37 0 385
10 179 396
36 0 350
29 0 175
8 128 207
31 0 337
16 0 265
68 244 396
15 0 218
15 262 385
49 0 360
19 0 223
9 67 396
33 4 225
32 185 396
20 172 396
40 0 172
44 34 278
66 230 327
13 0 395
42 0 272
0 151 396
2 0 325
67 14 396
12 15 396
10 32 155
11 0 327
39 105 396
48 0 391
46 0 223
51 44 396
40 724
85 0 619
108 0 586
62 141 724
55 78 724
37 146 628
6 0 426
123 0 684
67 143 405
120 213 724
101 128 675
124 0 549
127 68 724
116 0 647
75 1 724
54 0 512
40 0 284
32 11 724
61 413 724
90 0 290
76 0 476
24 233 724
41 0 345
114 0 476
51 126 724
96 0 416
118 93 487
19 23 724
43 0 416
44 0 514
53 219 724
100 314 724
45 72 712
92 157 724
39 163 724
3 86 724
33 233 724
57 0 623
4 0 413
66 0 318
104 18 724
27 484
39 0 441
6 324 467
11 55 484
4 0 197
42 317 480
44 0 447
5 0 183
47 158 484
15 0 384
4 322 484
45 46 484
9 0 354
10 0 350
7 34 484
41 0 212
25 326 452
23 10 484
17 77 484
13 8 420
24 66 484
5 253 379
14 180 484
16 234 336
20 0 243
0 31 484
26 0 274
46 213 484
50 95662
100000 0 93203
15939 39408 95662
78233 21417 59680
22573 46808 95662
95680 3718 95662
78760 6616 95662
21630 0 77763
42744 1685 95662
10371 42696 95662
6369 1349 95662
89185 0 75805
91209 34392 95662
76695 3382 95662
54379 0 63756
42216 39621 82781
82123 0 43177
50210 0 95592
63650 36896 95662
40199 0 55491
5220 0 74153
75650 1166 95662
8907 0 64871
91418 0 64500
3037 0 78739
75613 19193 95662
75828 0 90529
530 0 77094
74088 38946 95662
29122 0 56589
90981 0 69076
89895 829 95662
6093 21209 95662
25741 0 36098
18447 0 61571
16632 0 46451
52633 21435 95662
67699 12822 95662
98371 0 58226
51423 57171 95662
95708 0 94894
37474 0 85265
60686 4109 82359
85003 26420 95662
78263 0 92050
42384 0 55804
1308 44365 95662
51979 9998 95662
90596 0 83376
81879 0 77547
84959 33586 82011
46 381
64 249 341
1 80 381
16 80 381
9 0 355
55 0 285
7 60 276
2 0 183
43 0 360
49 142 381
51 103 349
8 0 381
20 54 381
56 0 190
45 167 381
59 80 381
24 0 304
5 247 381
52 22 381
3 62 381
41 0 365
12 126 381
21 0 263
62 0 367
32 223 358
23 50 381
25 82 381
19 12 381
39 0 364
14 101 381
53 4 381
17 202 381
61 0 151
54 103 325
31 167 381
29 0 91
10 91 381
5 52 171
4 169 324
40 0 299
46 64 381
29 237 329
57 0 303
26 0 198
2 211 381
34 221 362
0 113 270
34 130
120 15 130
84 67 130
52 28 130
87 48 130
57 0 72
2 35 130
40 0 91
119 0 124
24 45 130
80 24 127
118 46 130
36 1 130
97 88 130
83 8 59
59 60 130
89 37 130
38 0 127
129 81 130
124 0 122
8 2 130
117 30 56
67 81 130
34 0 130
0 0 51
86 1 68
79 27 102
90 0 113
138 76 130
44 4 105
109 21 130
136 0 50
15 0 113
30 0 94
11 69 111
11 15
2 1 7
2 9 15
3 0 4
5 7 13
7 0 8
8 3 6
8 8 15
10 2 9
11 8 13
14 6 15
16 0 6
50 99837
100000 0 95815
93913 0 66977
2104 17849 99837
48320 49218 99837
7304 0 80739
43258 16624 61903
72280 0 70319
71766 59713 99837
57014 0 46914
78458 8080 99837
58255 15169 62119
82680 0 60629
82281 0 88526
83391 0 67590
15494 25510 51765
43151 0 79307
41441 0 89911
92180 0 75850
75545 0 76272
86796 34804 87458
16858 0 77438
58711 62767 99837
8106 40721 99837
69693 43016 99837
98413 53867 99837
91880 74245 95247
61423 0 48298
43982 46526 69398
6568 0 78679
87471 69091 99837
92154 45282 99837
22638 0 55238
35028 0 47487
53516 29177 99837
2037 46741 99837
63782 0 75575
55030 0 94078
26792 0 63517
69823 16452 99837
75893 0 88108
12290 0 99360
41477 11793 99837
95930 46512 99837
15996 0 76999
22406 21739 99837
67211 0 35852
68589 5451 99837
2600 42828 99837
85115 0 58234
21559 32038 99837
50 100000
0 1 100000
1 0 99999
2 1 100000
3 0 99999
4 1 100000
5 0 99999
6 1 100000
7 0 99999
8 1 100000
9 0 99999
10 1 100000
11 0 99999
12 1 100000
13 0 99999
14 1 100000
15 0 99999
16 1 100000
17 0 99999
18 1 100000
19 0 99999
20 1 100000
21 0 99999
22 1 100000
23 0 99999
24 1 100000
25 0 99999
26 1 100000
27 0 99999
28 1 100000
29 0 99999
30 1 100000
31 0 99999
32 1 100000
33 0 99999
34 1 100000
35 0 99999
36 1 100000
37 0 99999
38 1 100000
39 0 99999
40 1 100000
41 0 99999
42 1 100000
43 0 99999
44 1 100000
45 0 99999
46 1 100000
47 0 99999
48 1 100000
49 0 99999
28 435
60 0 374
17 0 314
0 122 435
9 172 435
70 156 435
14 107 265
73 0 424
18 19 435
